trial,samples,filter_executed,role,source_sbox,known_mask,known_value,actual_word,known_bits,consensus_correct
9,256,1,1,3,0xF,0x0,0x0,4,1
9,256,1,2,5,0x3,0x1,0xD,2,1
9,256,1,3,6,0xF,0x6,0x6,4,1
9,256,1,4,7,0xF,0xF,0xF,4,1
9,320,1,0,2,0xF,0x4,0x4,4,1
9,320,1,1,3,0xF,0x0,0x0,4,1
9,320,1,2,5,0x3,0x1,0xD,2,1
9,320,1,3,6,0xF,0x6,0x6,4,1
9,320,1,4,7,0xF,0xF,0xF,4,1
9,384,1,0,2,0xF,0x4,0x4,4,1
9,384,1,1,3,0xF,0x0,0x0,4,1
9,384,1,2,5,0x3,0x1,0xD,2,1
9,384,1,3,6,0xF,0x6,0x6,4,1
9,384,1,4,7,0xF,0xF,0xF,4,1
9,512,1,0,2,0xF,0x4,0x4,4,1
9,512,1,1,3,0xF,0x0,0x0,4,1
9,512,1,2,5,0x3,0x1,0xD,2,1
9,512,1,3,6,0xF,0x6,0x6,4,1
9,512,1,4,7,0xF,0xF,0xF,4,1
10,64,1,0,1,0x0,0x0,0x9,0,1
10,64,1,1,2,0x0,0x0,0x7,0,1
10,64,1,2,4,0x0,0x0,0x3,0,1
10,64,1,3,5,0x0,0x0,0x2,0,1
10,64,1,4,6,0x0,0x0,0x5,0,1
10,96,1,0,1,0x0,0x0,0x9,0,1
10,96,1,1,2,0x0,0x0,0x7,0,1
10,96,1,2,4,0x0,0x0,0x3,0,1
10,96,1,3,5,0x0,0x0,0x2,0,1
10,96,1,4,6,0x0,0x0,0x5,0,1
10,128,1,0,1,0x0,0x0,0x9,0,1
10,128,1,1,2,0x0,0x0,0x7,0,1
10,128,1,2,4,0x0,0x0,0x3,0,1
10,128,1,3,5,0x0,0x0,0x2,0,1
10,128,1,4,6,0x0,0x0,0x5,0,1
10,160,1,0,1,0x0,0x0,0x9,0,1
10,160,1,1,2,0x0,0x0,0x7,0,1
10,160,1,2,4,0x0,0x0,0x3,0,1
10,160,1,3,5,0x0,0x0,0x2,0,1
10,160,1,4,6,0x0,0x0,0x5,0,1
10,192,1,0,1,0x0,0x0,0x9,0,1
10,192,1,1,2,0x0,0x0,0x7,0,1
10,192,1,2,4,0x0,0x0,0x3,0,1
10,192,1,3,5,0x0,0x0,0x2,0,1
10,192,1,4,6,0x0,0x0,0x5,0,1
10,256,1,0,1,0x8,0x8,0x9,1,1
10,256,1,1,2,0x2,0x2,0x7,1,1
10,256,1,2,4,0x2,0x2,0x3,1,1
10,256,1,3,5,0xA,0x2,0x2,2,1
10,256,1,4,6,0x7,0x5,0x5,3,1
10,320,1,0,1,0xF,0x9,0x9,4,1
10,320,1,1,2,0xF,0x7,0x7,4,1
10,320,1,2,4,0x3,0x3,0x3,2,1
10,320,1,3,5,0xF,0x2,0x2,4,1
10,320,1,4,6,0xF,0x5,0x5,4,1
10,384,1,0,1,0xF,0x9,0x9,4,1
10,384,1,1,2,0xF,0x7,0x7,4,1
10,384,1,2,4,0x3,0x3,0x3,2,1
10,384,1,3,5,0xF,0x2,0x2,4,1
10,384,1,4,6,0xF,0x5,0x5,4,1
10,512,1,0,1,0xF,0x9,0x9,4,1
10,512,1,1,2,0xF,0x7,0x7,4,1
10,512,1,2,4,0x3,0x3,0x3,2,1
10,512,1,3,5,0xF,0x2,0x2,4,1
10,512,1,4,6,0xF,0x5,0x5,4,1
11,64,0,0,255,0x0,0x0,0xC,0,0
11,64,0,1,255,0x0,0x0,0x2,0,0
11,64,0,2,255,0x0,0x0,0x0,0,0
11,64,0,3,255,0x0,0x0,0x3,0,0
11,64,0,4,255,0x0,0x0,0x9,0,0
11,96,1,0,1,0x0,0x0,0xC,0,1
11,96,1,1,2,0x0,0x0,0x2,0,1
11,96,1,2,4,0x0,0x0,0x0,0,1
11,96,1,3,5,0x0,0x0,0x3,0,1
11,96,1,4,6,0x0,0x0,0x9,0,1
11,128,1,0,1,0x0,0x0,0xC,0,1
11,128,1,1,2,0x0,0x0,0x2,0,1
11,128,1,2,4,0x0,0x0,0x0,0,1
11,128,1,3,5,0x0,0x0,0x3,0,1
11,128,1,4,6,0x0,0x0,0x9,0,1
11,160,1,0,1,0x0,0x0,0xC,0,1
11,160,1,1,2,0x0,0x0,0x2,0,1
11,160,1,2,4,0x0,0x0,0x0,0,1
11,160,1,3,5,0x0,0x0,0x3,0,1
11,160,1,4,6,0x0,0x0,0x9,0,1
11,192,1,0,1,0x0,0x0,0xC,0,1
11,192,1,1,2,0x0,0x0,0x2,0,1
11,192,1,2,4,0x0,0x0,0x0,0,1
11,192,1,3,5,0x0,0x0,0x3,0,1
11,192,1,4,6,0x0,0x0,0x9,0,1
11,256,1,0,1,0xF,0xC,0xC,4,1
11,256,1,1,2,0xF,0x2,0x2,4,1
11,256,1,2,4,0x3,0x0,0x0,2,1
11,256,1,3,5,0xF,0x3,0x3,4,1
11,256,1,4,6,0xF,0x9,0x9,4,1
11,320,1,0,1,0xF,0xC,0xC,4,1
11,320,1,1,2,0xF,0x2,0x2,4,1
11,320,1,2,4,0x3,0x0,0x0,2,1
11,320,1,3,5,0xF,0x3,0x3,4,1
