trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_missing_words,total_queries,mean_queries_per_sbox,min_queries_per_sbox,max_queries_per_sbox,aggregate_empirical_rate,theoretical_rate,absolute_rate_error
5,128,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,6308,788.500000,681,881,0.162333544705,0.164132936375,0.001799391670
5,160,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,7936,992.000000,890,1107,0.161290322581,0.164132936375,0.002842613795
5,192,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,9338,1167.250000,1057,1287,0.164489183979,0.164132936375,0.000356247604
5,256,0x5343454E45525931,0xC8F117C1C5838205,935FAC4D3AC20C2D9B09,0xE,0x444577DA,0x444577DA,1,8,8,12253,1531.625000,1400,1666,0.167142740553,0.164132936375,0.003009804178
6,16,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,777,97.125000,77,129,0.164736164736,0.164132936375,0.000603228361
6,24,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,1152,144.000000,107,195,0.166666666667,0.164132936375,0.002533730291
6,32,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,1552,194.000000,164,259,0.164948453608,0.164132936375,0.000815517233
6,40,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,1961,245.125000,189,340,0.163182049975,0.164132936375,0.000950886401
6,48,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,2318,289.750000,225,388,0.165660051769,0.164132936375,0.001527115393
6,56,0x5343454E45525931,0x524EDC030D4BA50B,D801EB6B3968F6244EF7,0x0,0xC340CD1E,0x00000000,0,0,0,2750,343.750000,251,432,0.162909090909,0.164132936375,0.001223845466
