trial,samples_per_sbox,sbox,trial_seed,known_delta,query_count,empirical_rate,missing_count,missing_value,recovered_word,actual_word,unique_missing,word_success
1,56,0,0xAD18F677B9DCF542,0x2,335,0.167164179104,1,0xA,0x8,0x8,1,1
1,56,1,0xAD18F677B9DCF542,0x2,342,0.163742690058,1,0xE,0xC,0xC,1,1
1,56,2,0xAD18F677B9DCF542,0x2,359,0.155988857939,2,NA,0x0,0xE,0,0
1,56,3,0xAD18F677B9DCF542,0x2,353,0.158640226629,0,NA,0x0,0xA,0,0
1,56,4,0xAD18F677B9DCF542,0x2,314,0.178343949045,0,NA,0x0,0xB,0,0
1,56,5,0xAD18F677B9DCF542,0x2,395,0.141772151899,0,NA,0x0,0x2,0,0
1,56,6,0xAD18F677B9DCF542,0x2,401,0.139650872818,0,NA,0x0,0x6,0,0
1,56,7,0xAD18F677B9DCF542,0x2,284,0.197183098592,0,NA,0x0,0xB,0,0
1,64,0,0xAD18F677B9DCF542,0x2,372,0.172043010753,1,0xA,0x8,0x8,1,1
1,64,1,0xAD18F677B9DCF542,0x2,404,0.158415841584,1,0xE,0xC,0xC,1,1
1,64,2,0xAD18F677B9DCF542,0x2,410,0.156097560976,2,NA,0x0,0xE,0,0
1,64,3,0xAD18F677B9DCF542,0x2,394,0.162436548223,0,NA,0x0,0xA,0,0
1,64,4,0xAD18F677B9DCF542,0x2,345,0.185507246377,0,NA,0x0,0xB,0,0
1,64,5,0xAD18F677B9DCF542,0x2,449,0.142538975501,0,NA,0x0,0x2,0,0
1,64,6,0xAD18F677B9DCF542,0x2,437,0.146453089245,0,NA,0x0,0x6,0,0
1,64,7,0xAD18F677B9DCF542,0x2,353,0.181303116147,0,NA,0x0,0xB,0,0
1,72,0,0xAD18F677B9DCF542,0x2,406,0.177339901478,1,0xA,0x8,0x8,1,1
1,72,1,0xAD18F677B9DCF542,0x2,451,0.159645232816,1,0xE,0xC,0xC,1,1
1,72,2,0xAD18F677B9DCF542,0x2,483,0.149068322981,2,NA,0x0,0xE,0,0
1,72,3,0xAD18F677B9DCF542,0x2,425,0.169411764706,0,NA,0x0,0xA,0,0
1,72,4,0xAD18F677B9DCF542,0x2,368,0.195652173913,0,NA,0x0,0xB,0,0
1,72,5,0xAD18F677B9DCF542,0x2,495,0.145454545455,0,NA,0x0,0x2,0,0
1,72,6,0xAD18F677B9DCF542,0x2,479,0.150313152401,0,NA,0x0,0x6,0,0
1,72,7,0xAD18F677B9DCF542,0x2,452,0.159292035398,0,NA,0x0,0xB,0,0
1,80,0,0xAD18F677B9DCF542,0x2,478,0.167364016736,1,0xA,0x8,0x8,1,1
1,80,1,0xAD18F677B9DCF542,0x2,503,0.159045725646,1,0xE,0xC,0xC,1,1
1,80,2,0xAD18F677B9DCF542,0x2,544,0.147058823529,2,NA,0x0,0xE,0,0
1,80,3,0xAD18F677B9DCF542,0x2,472,0.169491525424,0,NA,0x0,0xA,0,0
1,80,4,0xAD18F677B9DCF542,0x2,428,0.186915887850,0,NA,0x0,0xB,0,0
1,80,5,0xAD18F677B9DCF542,0x2,543,0.147329650092,0,NA,0x0,0x2,0,0
1,80,6,0xAD18F677B9DCF542,0x2,511,0.156555772994,0,NA,0x0,0x6,0,0
1,80,7,0xAD18F677B9DCF542,0x2,488,0.163934426230,0,NA,0x0,0xB,0,0
1,96,0,0xAD18F677B9DCF542,0x2,567,0.169312169312,1,0xA,0x8,0x8,1,1
1,96,1,0xAD18F677B9DCF542,0x2,626,0.153354632588,1,0xE,0xC,0xC,1,1
1,96,2,0xAD18F677B9DCF542,0x2,612,0.156862745098,2,NA,0x0,0xE,0,0
1,96,3,0xAD18F677B9DCF542,0x2,590,0.162711864407,0,NA,0x0,0xA,0,0
1,96,4,0xAD18F677B9DCF542,0x2,505,0.190099009901,0,NA,0x0,0xB,0,0
1,96,5,0xAD18F677B9DCF542,0x2,655,0.146564885496,0,NA,0x0,0x2,0,0
1,96,6,0xAD18F677B9DCF542,0x2,602,0.159468438538,0,NA,0x0,0x6,0,0
1,96,7,0xAD18F677B9DCF542,0x2,556,0.172661870504,0,NA,0x0,0xB,0,0
1,112,0,0xAD18F677B9DCF542,0x2,684,0.163742690058,1,0xA,0x8,0x8,1,1
1,112,1,0xAD18F677B9DCF542,0x2,696,0.160919540230,1,0xE,0xC,0xC,1,1
1,112,2,0xAD18F677B9DCF542,0x2,719,0.155771905424,1,0xC,0xE,0xE,1,1
1,112,3,0xAD18F677B9DCF542,0x2,692,0.161849710983,1,0x8,0xA,0xA,1,1
1,112,4,0xAD18F677B9DCF542,0x2,598,0.187290969900,1,0x9,0xB,0xB,1,1
1,112,5,0xAD18F677B9DCF542,0x2,741,0.151147098516,1,0x0,0x2,0x2,1,1
1,112,6,0xAD18F677B9DCF542,0x2,720,0.155555555556,1,0x4,0x6,0x6,1,1
