trial,samples_per_sbox,sbox,trial_seed,known_delta,minimum_value,minimum_count,second_minimum_count,minimum_gap,minimum_multiplicity,recovered_word,actual_word,unique_minimum,word_success,internal_ineffective,internal_infected,empirical_ineffective_rate
1,16384,0,0x588258597E0BAF4E,0xC,0x4,861,977,116,1,0x8,0x8,1,1,2719,13665,0.165954589844
1,16384,1,0x588258597E0BAF4E,0xC,0x4,868,986,118,1,0x8,0x8,1,1,2676,13708,0.163330078125
1,16384,2,0x588258597E0BAF4E,0xC,0x5,818,967,149,1,0x9,0x9,1,1,2700,13684,0.164794921875
1,16384,3,0x588258597E0BAF4E,0xC,0x6,828,964,136,1,0xA,0xA,1,1,2655,13729,0.162048339844
1,16384,4,0x588258597E0BAF4E,0xC,0x8,871,992,121,1,0x4,0x4,1,1,2731,13653,0.166687011719
1,16384,5,0x588258597E0BAF4E,0xC,0x0,847,996,149,1,0xC,0xC,1,1,2732,13652,0.166748046875
1,16384,6,0x588258597E0BAF4E,0xC,0x9,846,972,126,1,0x5,0x5,1,1,2669,13715,0.162902832031
1,16384,7,0x588258597E0BAF4E,0xC,0x7,864,986,122,1,0xB,0xB,1,1,2714,13670,0.165649414062
1,24576,0,0x588258597E0BAF4E,0xC,0x4,1332,1483,151,1,0x8,0x8,1,1,4058,20518,0.165120442708
1,24576,1,0x588258597E0BAF4E,0xC,0x4,1275,1491,216,1,0x8,0x8,1,1,4009,20567,0.163126627604
1,24576,2,0x588258597E0BAF4E,0xC,0x5,1237,1496,259,1,0x9,0x9,1,1,4041,20535,0.164428710938
1,24576,3,0x588258597E0BAF4E,0xC,0x6,1265,1475,210,1,0xA,0xA,1,1,4008,20568,0.163085937500
1,24576,4,0x588258597E0BAF4E,0xC,0x8,1288,1470,182,1,0x4,0x4,1,1,4073,20503,0.165730794271
1,24576,5,0x588258597E0BAF4E,0xC,0x0,1273,1482,209,1,0xC,0xC,1,1,4101,20475,0.166870117188
1,24576,6,0x588258597E0BAF4E,0xC,0x9,1285,1511,226,1,0x5,0x5,1,1,3984,20592,0.162109375000
1,24576,7,0x588258597E0BAF4E,0xC,0x7,1308,1466,158,1,0xB,0xB,1,1,4059,20517,0.165161132812
1,32768,0,0x588258597E0BAF4E,0xC,0x4,1764,1971,207,1,0x8,0x8,1,1,5401,27367,0.164825439453
1,32768,1,0x588258597E0BAF4E,0xC,0x4,1740,1990,250,1,0x8,0x8,1,1,5393,27375,0.164581298828
1,32768,2,0x588258597E0BAF4E,0xC,0x5,1657,1999,342,1,0x9,0x9,1,1,5398,27370,0.164733886719
1,32768,3,0x588258597E0BAF4E,0xC,0x6,1691,1977,286,1,0xA,0xA,1,1,5321,27447,0.162384033203
1,32768,4,0x588258597E0BAF4E,0xC,0x8,1713,1982,269,1,0x4,0x4,1,1,5386,27382,0.164367675781
1,32768,5,0x588258597E0BAF4E,0xC,0x0,1715,2006,291,1,0xC,0xC,1,1,5370,27398,0.163879394531
1,32768,6,0x588258597E0BAF4E,0xC,0x9,1727,1983,256,1,0x5,0x5,1,1,5326,27442,0.162536621094
1,32768,7,0x588258597E0BAF4E,0xC,0x7,1776,1997,221,1,0xB,0xB,1,1,5424,27344,0.165527343750
2,512,0,0xB1B8E29F2251F73C,0xD,0x1,25,26,1,2,0x0,0x3,0,0,81,431,0.158203125000
2,512,1,0xB1B8E29F2251F73C,0xD,0x6,19,22,3,1,0xB,0xD,1,0,92,420,0.179687500000
2,512,2,0xB1B8E29F2251F73C,0xD,0x5,23,25,2,1,0x8,0x9,1,0,91,421,0.177734375000
2,512,3,0xB1B8E29F2251F73C,0xD,0x1,23,26,3,1,0xC,0x6,1,0,72,440,0.140625000000
2,512,4,0xB1B8E29F2251F73C,0xD,0xC,23,25,2,1,0x1,0x1,1,1,84,428,0.164062500000
2,512,5,0xB1B8E29F2251F73C,0xD,0xB,25,26,1,1,0x6,0x9,1,0,81,431,0.158203125000
2,512,6,0xB1B8E29F2251F73C,0xD,0x5,25,27,2,2,0x0,0x4,0,0,84,428,0.164062500000
2,512,7,0xB1B8E29F2251F73C,0xD,0xF,19,22,3,1,0x2,0x2,1,1,98,414,0.191406250000
2,1024,0,0xB1B8E29F2251F73C,0xD,0xF,52,53,1,1,0x2,0x3,1,0,159,865,0.155273437500
2,1024,1,0xB1B8E29F2251F73C,0xD,0x0,38,54,16,1,0xD,0xD,1,1,191,833,0.186523437500
2,1024,2,0xB1B8E29F2251F73C,0xD,0x5,47,51,4,1,0x8,0x9,1,0,175,849,0.170898437500
2,1024,3,0xB1B8E29F2251F73C,0xD,0xB,46,55,9,1,0x6,0x6,1,1,149,875,0.145507812500
2,1024,4,0xB1B8E29F2251F73C,0xD,0xC,47,48,1,1,0x1,0x1,1,1,158,866,0.154296875000
2,1024,5,0xB1B8E29F2251F73C,0xD,0xB,54,56,2,1,0x6,0x9,1,0,166,858,0.162109375000
2,1024,6,0xB1B8E29F2251F73C,0xD,0x9,47,57,10,1,0x4,0x4,1,1,180,844,0.175781250000
2,1024,7,0xB1B8E29F2251F73C,0xD,0xF,49,51,2,1,0x2,0x2,1,1,179,845,0.174804687500
2,1536,0,0xB1B8E29F2251F73C,0xD,0xE,77,79,2,1,0x3,0x3,1,1,221,1315,0.143880208333
2,1536,1,0xB1B8E29F2251F73C,0xD,0x0,59,86,27,1,0xD,0xD,1,1,290,1246,0.188802083333
2,1536,2,0xB1B8E29F2251F73C,0xD,0x5,80,86,6,1,0x8,0x9,1,0,246,1290,0.160156250000
2,1536,3,0xB1B8E29F2251F73C,0xD,0xB,73,83,10,1,0x6,0x6,1,1,227,1309,0.147786458333
2,1536,4,0xB1B8E29F2251F73C,0xD,0xC,65,78,13,1,0x1,0x1,1,1,250,1286,0.162760416667
2,1536,5,0xB1B8E29F2251F73C,0xD,0xB,78,86,8,1,0x6,0x9,1,0,241,1295,0.156901041667
2,1536,6,0xB1B8E29F2251F73C,0xD,0x9,76,83,7,1,0x4,0x4,1,1,264,1272,0.171875000000
2,1536,7,0xB1B8E29F2251F73C,0xD,0xF,76,82,6,1,0x2,0x2,1,1,271,1265,0.176432291667
2,2048,0,0xB1B8E29F2251F73C,0xD,0x3,106,107,1,1,0xE,0x3,1,0,312,1736,0.152343750000
2,2048,1,0xB1B8E29F2251F73C,0xD,0x0,85,114,29,1,0xD,0xD,1,1,375,1673,0.183105468750
