trial,samples_per_sbox,master_seed,trial_seed,key,known_delta,actual_sk28,recovered_sk28,full_key_success,correct_words,unique_minimum_words,total_public_outputs,total_internal_ineffective,total_infected,aggregate_empirical_rate,theoretical_rate,absolute_rate_error,mean_minimum_gap,min_minimum_gap,max_minimum_gap
24,6144,0x5343454E45545935,0x8D02C839624726BA,3CFEEEDC530F99BAEDAA,0xD,0x801DB4C2,0x801DB4C2,1,8,8,49152,7858,41294,0.159871419271,0.164132936375,0.004261517105,38.000000,24,58
24,8192,0x5343454E45545935,0x8D02C839624726BA,3CFEEEDC530F99BAEDAA,0xD,0x801DB4C2,0x801DB4C2,1,8,8,65536,10456,55080,0.159545898438,0.164132936375,0.004587037938,54.000000,38,81
24,12288,0x5343454E45545935,0x8D02C839624726BA,3CFEEEDC530F99BAEDAA,0xD,0x801DB4C2,0x801DB4C2,1,8,8,98304,15869,82435,0.161427815755,0.164132936375,0.002705120620,97.000000,80,113
24,16384,0x5343454E45545935,0x8D02C839624726BA,3CFEEEDC530F99BAEDAA,0xD,0x801DB4C2,0x801DB4C2,1,8,8,131072,21386,109686,0.163162231445,0.164132936375,0.000970704930,134.000000,98,167
24,24576,0x5343454E45545935,0x8D02C839624726BA,3CFEEEDC530F99BAEDAA,0xD,0x801DB4C2,0x801DB4C2,1,8,8,196608,32149,164459,0.163518269857,0.164132936375,0.000614666519,206.750000,139,233
24,32768,0x5343454E45545935,0x8D02C839624726BA,3CFEEEDC530F99BAEDAA,0xD,0x801DB4C2,0x801DB4C2,1,8,8,262144,43064,219080,0.164276123047,0.164132936375,0.000143186672,275.875000,223,315
25,512,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0x00000000,0,0,6,4096,687,3409,0.167724609375,0.164132936375,0.003591673000,4.000000,1,10
25,1024,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0x7030FB69,0,2,8,8192,1397,6795,0.170532226562,0.164132936375,0.006399290187,3.375000,1,8
25,1536,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0x00000000,0,4,7,12288,2094,10194,0.170410156250,0.164132936375,0.006277219875,4.285714,1,10
25,2048,0x5343454E45545935,0x98B2BA44C4976579,DEF375481C09B39D8F54,0x3,0xC4F5CBA9,0xC0F4CFA9,0,6,8,16384,2748,13636,0.167724609375,0.164132936375,0.003591673000,7.625000,2,15
